no,name,frequency,topic,category
1,ข้อมูลทะเบียนเกษตรกร จำนวนสมาชิกในครัวเรือน เครื่องจักรกลการเกษตร และรายละเอียดการเพาะปลูกในแต่ละแปลง,รายไตรมาส,ข้อมูลเกษตกร,เกษตรกรรม
2,ราคารับซื้อและราคาขาย ของพืชผลและสินค้าทางการเกษตร,รายวัน,ราคาสินค้าการเกษตร,เกษตรกรรม
3,ข้อมูลปริมาณและมูลค่าการ นำเข้า-ส่งออกผลผลิตทางการเกษตร,รายไตรมาส,นำเข้า/ส่งออก สินค้าเกษตร,เกษตรกรรม
4,ข้อมูลปริมาณการเพาะปลูกทางการเกษตรในพืชแต่ละชนิดรายพื้นที่,รายไตรมาส,ข้อมูลเกษตกร,เกษตรกรรม
5,ข้อมูลการจดทะเบียนเครื่องจักรกลการเกษตร แทรกเตอร์ รถบรรทุกทางการเกษตร เครื่องเกี่ยวนวดข้าว เครื่องเก็บเกี่ยวอื่่นๆ และอุปกรณ์ต่อพ่วงที่สำคัญ,รายปี,ทะเบียนเครื่องจักร,เกษตรกรรม
6,ข้อมูลการส่งเสริมการปลูกไม้เศรษฐกิจ การเพาะปลูก และการประมง,รายเดือน,ส่งเสริมด้านการเกษตร,เกษตรกรรม
7,ข้อมูลปริมาณผลผลิตทางการเกษตรในพืชแต่ละชนิดรายพื้นที่,รายไตรมาส,ผลผลิตการเกษตร,เกษตรกรรม
8,ข้อมูลการนำเข้า - ส่งออก ผลผลิตพืชและการแปรรูปเป็นสินค้าแต่ละพื้นที่,รายไตรมาส,นำเข้า/ส่งออก สินค้าเกษตร,เกษตรกรรม
9,ข้อมูลพิกัดแผนที่ขอบเขตการปกครอง ระดับตำบล อำเภอ และจังหวัด,รายปี,แผนที่แบ่งเขตปกครอง,เมืองและภูมิภาค
10,ข้อมูลแผนระวาง รูปแปลงที่ดิน,รายวัน,แผนที่การใช้ที่ดิน,เมืองและภูมิภาค
11,ข้อมูลภาพถ่ายดาวเทียมความละเอียดสูง,รายปี,แผนที่ประเทศ,เมืองและภูมิภาค
12,แผนที่แสดงขอบเขตพื้นที่ป่า ป่าชายเลน ป่าสงวน และพื้นที่อนุรักษณ์,รายปี,แผนที่ป่า,เมืองและภูมิภาค
13,ข้อมูลทะเบียนวัดและพิกัดทั่วประเทศ,รายเดือน,แผนที่ตามสถานที่ต่างๆ,เมืองและภูมิภาค
14,ข้อมูลแนวเขตป่าไม้,รายเดือน,แผนที่ป่า,เมืองและภูมิภาค
15,ข้อมูลตำเเหน่งเเละขอบเขตพื้นที่โครงการของรัฐ,รายไตรมาส,แผนที่แบ่งเขตปกครอง,เมืองและภูมิภาค
16,ข้อมูลจดทะเบียนนิติบุคคล จำนวน สถานะ ประเภทธุรกิจ ทุนจดทะเบียน ในแต่ละพื้นที่,รายวัน,ประกอบธุรกิจ,เศรษฐกิจ การเงิน และอุตสาหกรรม
17,ข้อมูลความต้องการกำลังแรงงานในแต่ละตำแหน่ง แยกประเภทอุตสหกรรม และพื้นที่,รายเดือน,ความต้องการแรงงาน,เศรษฐกิจ การเงิน และอุตสาหกรรม
18,ข้อมูลปริมาณแรงงานในสถานประกอบกิจการ,รายเดือน,แรงงานในประเทศ,เศรษฐกิจ การเงิน และอุตสาหกรรม
19,ข้อมูลการลงทุนของชาวต่างชาติในประเทศ,รายเดือน,การลงทุน,เศรษฐกิจ การเงิน และอุตสาหกรรม
20,ข้อมูลการว่างงาน และตำแหน่งงานที่ว่าง,รายเดือน,ความต้องการแรงงาน,เศรษฐกิจ การเงิน และอุตสาหกรรม
21,ข้อมูลการจัดเก็บภาษีสรรพสามิต,รายครึ่งปี,ภาษีสรรสามิต,เศรษฐกิจ การเงิน และอุตสาหกรรม
22,ข้อมูลผู้ถือหุ้นนิติบุคคล,รายวัน,ประกอบธุรกิจ,เศรษฐกิจ การเงิน และอุตสาหกรรม
23,ข้อมูลปริมาณการใช้เชื้อเพลิงในการผลิตไฟฟ้าในอุตสาหกรรม,รายวัน,พลังงานและเชื้อเพลิง,เศรษฐกิจ การเงิน และอุตสาหกรรม
24,ข้อมูลสถิติคดีในพื้นที่ป่าไม้,รายวัน,ทุจริต คดีความ,กฎหมาย ศาล และอาชญากรรม
